ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos.1,Tipo de pagamento,Receita mensal,Receita total,Churn,mes_churn
1067,Pequena empresa,2021,Sim,até 5 funcionários,47,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,19.65,973.1,Não,
1068,Pequena empresa,2019,Sim,até 5 funcionários,24,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,89.25,2210.2,Não,
1070,Pequena empresa,2010,Não,até 5 funcionários,20,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,54.0,1055.9,Não,
1073,Pequena empresa,2021,Não,até 5 funcionários,22,Não,,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,56.75,1304.85,Não,
1075,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,21.1,21.1,Não,
1076,Micro empresa,2016,Sim,6 ou mais funcionários,59,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,96.65,5580.8,Não,
1077,Micro empresa,2020,Sim,6 ou mais funcionários,58,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Cartão de crédito - mês a mês,24.5,1497.9,Não,
1079,Micro empresa,2005,Não,até 5 funcionários,59,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,79.2,4590.35,Não,
1080,Micro empresa,2018,Sim,6 ou mais funcionários,3,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,69.55,200.2,Não,
1081,Pequena empresa,2016,Não,até 5 funcionários,32,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,20.05,614.45,Não,
1082,Pequena empresa,2011,Sim,até 5 funcionários,46,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,98.85,4564.9,Não,
1083,Pequena empresa,2020,Sim,6 ou mais funcionários,0,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,25.75,,Não,
1085,Micro empresa,2021,Sim,6 ou mais funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - mês a mês,19.6,1012.4,Não,
1088,Pequena empresa,2021,Não,até 5 funcionários,32,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,87.65,2766.4,Não,
1090,Micro empresa,2019,Não,até 5 funcionários,16,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,74.75,1129.35,Não,
1091,Micro empresa,2019,Não,até 5 funcionários,51,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - pagamento único,107.45,5680.9,Não,
1092,Pequena empresa,2017,Não,até 5 funcionários,29,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,75.35,2243.9,Não,
1093,Pequena empresa,2016,Sim,até 5 funcionários,70,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - mês a mês,64.95,4523.25,Não,
1094,Micro empresa,2021,Sim,6 ou mais funcionários,71,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Anual,0,No,Boleto - pagamento único,100.45,7159.7,Não,
1095,Pequena empresa,2017,Sim,6 ou mais funcionários,41,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,68.5,2839.95,Não,
1096,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,80.55,80.55,Não,
1097,Micro empresa,2019,Sim,até 5 funcionários,7,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,0,No,Cartão de crédito - pagamento único,81.25,580.1,Não,
1099,Pequena empresa,2016,Sim,6 ou mais funcionários,67,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - pagamento único,89.55,6038.55,Não,
1100,Pequena empresa,2018,Sim,6 ou mais funcionários,5,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,55.7,259.4,Não,
1101,Pequena empresa,2021,Não,6 ou mais funcionários,15,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - pagamento único,24.8,324.15,Não,
1102,Micro empresa,2016,Sim,6 ou mais funcionários,20,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - pagamento único,20.0,417.65,Não,
1104,Pequena empresa,2019,Sim,6 ou mais funcionários,54,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,105.2,5637.85,Não,
1105,Pequena empresa,2016,Não,até 5 funcionários,42,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - mês a mês,19.55,839.4,Não,
1106,Micro empresa,2017,Sim,até 5 funcionários,9,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,79.75,769.1,Não,
1107,Micro empresa,2019,Não,até 5 funcionários,63,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,97.45,6253.0,Não,
1108,Micro empresa,2018,Sim,até 5 funcionários,69,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,24.25,1641.8,Não,
1109,Micro empresa,2018,Não,até 5 funcionários,69,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,24.6,1678.05,Não,
1110,Pequena empresa,2017,Sim,até 5 funcionários,40,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,50.15,2058.5,Não,
1111,Pequena empresa,2018,Não,até 5 funcionários,60,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,39.6,2424.5,Não,
1113,Micro empresa,2013,Não,até 5 funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,89.85,6293.45,Não,
1115,Pequena empresa,2017,Sim,até 5 funcionários,32,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,98.85,3145.9,Não,
1116,Pequena empresa,2016,Não,até 5 funcionários,39,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,53.85,2200.7,Não,
1117,Micro empresa,2016,Não,até 5 funcionários,38,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - pagamento único,24.25,914.4,Não,
1118,Pequena empresa,2018,Não,até 5 funcionários,52,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,89.45,4577.75,Não,
1119,Micro empresa,2019,Sim,6 ou mais funcionários,48,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,105.25,4997.5,Não,
1120,Pequena empresa,2019,Sim,6 ou mais funcionários,70,Não,,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,59.5,4144.8,Não,
1121,Pequena empresa,2021,Não,até 5 funcionários,20,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,70.55,1493.55,Não,
1122,Micro empresa,2020,Não,até 5 funcionários,50,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,82.5,4179.1,Não,
1124,Pequena empresa,2020,Sim,6 ou mais funcionários,25,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,61.6,1611.0,Não,
1125,Pequena empresa,2019,Não,até 5 funcionários,12,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,49.05,593.05,Não,
1128,Micro empresa,2018,Sim,6 ou mais funcionários,23,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,66.25,1533.8,Não,
1129,Pequena empresa,2021,Não,até 5 funcionários,27,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - pagamento único,19.4,529.8,Não,
1130,Pequena empresa,2007,Não,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,86.05,3865.6,Não,
1131,Pequena empresa,2016,Sim,6 ou mais funcionários,26,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - mês a mês,19.15,515.75,Não,
1134,Pequena empresa,2017,Não,6 ou mais funcionários,2,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,19.25,48.35,Não,
1135,Micro empresa,2018,Sim,6 ou mais funcionários,26,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,81.95,2070.05,Não,
1136,Micro empresa,2011,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,114.65,8333.95,Não,
1137,Micro empresa,2020,Sim,6 ou mais funcionários,63,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,20.0,1209.25,Não,
1138,Pequena empresa,2016,Sim,6 ou mais funcionários,71,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,19.8,1396.25,Não,
1139,Pequena empresa,2021,Sim,6 ou mais funcionários,11,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,65.15,723.35,Não,
1140,Pequena empresa,2005,Sim,até 5 funcionários,14,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,19.65,228.65,Não,
1141,Micro empresa,2021,Não,6 ou mais funcionários,13,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - mês a mês,88.95,1161.75,Não,
1142,Pequena empresa,2020,Não,6 ou mais funcionários,6,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,20.2,98.35,Não,
1143,Pequena empresa,2001,Sim,6 ou mais funcionários,11,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,75.2,775.3,Não,
1144,Pequena empresa,2017,Sim,até 5 funcionários,18,Sim,Sim,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,56.8,1074.65,Não,
1146,Micro empresa,2021,Sim,até 5 funcionários,32,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,75.5,2324.7,Não,
1147,Pequena empresa,2021,Não,até 5 funcionários,29,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,35.6,1072.6,Não,
1148,Micro empresa,2017,Não,até 5 funcionários,3,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,60.25,170.5,Não,
1151,Micro empresa,2020,Não,até 5 funcionários,41,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,40.35,1677.85,Não,
1152,Micro empresa,2019,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - pagamento único,18.85,18.85,Não,
1153,Pequena empresa,2016,Não,até 5 funcionários,7,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,54.85,370.4,Não,
1154,Micro empresa,2018,Sim,até 5 funcionários,52,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,64.3,3410.6,Não,
1155,Micro empresa,2018,Sim,6 ou mais funcionários,45,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,24.65,1138.8,Não,
1156,Pequena empresa,2017,Sim,até 5 funcionários,70,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,0,No,Cartão de crédito - mês a mês,76.1,5264.25,Não,
1157,Micro empresa,2016,Não,até 5 funcionários,53,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,18.7,1005.7,Não,
1158,Micro empresa,2014,Sim,até 5 funcionários,62,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,97.95,5936.55,Não,
1159,Micro empresa,2018,Sim,até 5 funcionários,60,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,94.1,5475.9,Não,
1161,Micro empresa,2007,Sim,até 5 funcionários,23,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,95.1,2326.05,Não,
1163,Micro empresa,2017,Não,até 5 funcionários,67,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,72.35,4991.5,Não,
1165,Micro empresa,2009,Sim,até 5 funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,82.7,5831.2,Não,
1166,Pequena empresa,2019,Não,até 5 funcionários,25,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - mês a mês,19.9,510.8,Não,
1167,Micro empresa,2019,Não,até 5 funcionários,5,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,53.8,283.95,Não,
1168,Pequena empresa,2021,Não,até 5 funcionários,26,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,51.55,1295.4,Não,
1169,Pequena empresa,2017,Sim,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,19.65,19.65,Não,
1170,Pequena empresa,2011,Não,até 5 funcionários,70,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,44.05,3011.65,Não,
1171,Pequena empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - pagamento único,114.0,8093.15,Não,
1173,Micro empresa,2002,Sim,6 ou mais funcionários,32,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,100.4,3217.65,Não,
1175,Micro empresa,2021,Não,até 5 funcionários,14,Sim,Sim,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,54.25,773.2,Não,
1176,Micro empresa,2016,Não,até 5 funcionários,13,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,80.0,1029.35,Não,
1178,Micro empresa,2021,Não,até 5 funcionários,46,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,79.2,3593.8,Não,
1180,Pequena empresa,2003,Sim,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,94.3,3953.15,Não,
1181,Pequena empresa,2017,Não,até 5 funcionários,39,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - pagamento único,49.8,1971.15,Não,
1183,Pequena empresa,2016,Não,até 5 funcionários,57,Não,,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,53.75,3196.0,Não,
1184,Micro empresa,2019,Sim,até 5 funcionários,53,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,93.45,4872.2,Não,
1185,Pequena empresa,2019,Sim,6 ou mais funcionários,18,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,87.9,1500.5,Não,
1187,Micro empresa,2017,Sim,até 5 funcionários,58,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,61.05,3478.75,Não,
1188,Micro empresa,2007,Não,até 5 funcionários,71,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,104.05,7413.55,Não,
1189,Micro empresa,2020,Não,até 5 funcionários,35,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,99.25,3532.0,Não,
1190,Pequena empresa,2021,Não,até 5 funcionários,3,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,0,No,Cartão de crédito - mês a mês,85.7,256.75,Não,
1191,Pequena empresa,2021,Não,até 5 funcionários,38,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,104.85,3887.25,Não,
1192,Pequena empresa,2020,Sim,6 ou mais funcionários,35,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,69.15,2490.15,Não,
1194,Micro empresa,2018,Não,até 5 funcionários,47,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,74.45,3510.3,Não,
1195,Micro empresa,2019,Não,até 5 funcionários,14,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,50.45,765.45,Não,
1196,Micro empresa,2015,Sim,até 5 funcionários,20,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,60.0,1259.35,Não,
1197,Pequena empresa,2020,Sim,até 5 funcionários,66,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - pagamento único,85.25,5538.35,Não,
1198,Pequena empresa,2018,Sim,até 5 funcionários,15,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,19.45,340.85,Não,
1199,Micro empresa,2017,Não,até 5 funcionários,42,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,20.75,844.45,Não,
1200,Micro empresa,2021,Sim,até 5 funcionários,17,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,78.9,1348.95,Não,
1201,Pequena empresa,2019,Não,até 5 funcionários,37,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,104.5,3778.0,Não,
1202,Micro empresa,2016,Não,até 5 funcionários,12,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,49.4,611.65,Não,
1204,Micro empresa,2021,Não,até 5 funcionários,60,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,25.0,1505.05,Não,
1205,Pequena empresa,2019,Sim,6 ou mais funcionários,18,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,25.55,467.85,Não,
1207,Micro empresa,2017,Não,até 5 funcionários,3,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,70.15,194.2,Não,
1208,Micro empresa,2021,Não,6 ou mais funcionários,9,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,69.4,571.45,Não,
1210,Pequena empresa,2018,Sim,até 5 funcionários,56,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - pagamento único,93.15,5253.95,Não,
1213,Pequena empresa,2019,Não,até 5 funcionários,7,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,69.55,521.35,Não,
1214,Micro empresa,2020,Sim,6 ou mais funcionários,69,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,20.2,1412.65,Não,
